osm_id,lon,lat
27350121,6.5860115,52.9684784
27350122,6.5770058,52.9678877
27350124,6.5586914,52.9695637
27350126,6.5433172,52.9730784
27350127,6.5392043,52.9744485
27350129,6.5322436,52.9777655
27476027,6.5487512,52.9715575
27476029,6.5480448,52.9717399
28246388,6.5325382,52.9772645
28246389,6.5345919,52.9752893
28246390,6.5366146,52.9744737
28246391,6.5405269,52.9739845
31489875,3.3641437,51.2718316
31489876,3.3649691,51.2715001
31489877,3.3660469,51.270991
31489878,3.366491,51.270758
31489880,3.3885555,51.256796
31489881,3.389215,51.2563311
31489882,3.389991,51.2557482
31489883,3.3904345,51.25539
31489885,3.3911161,51.2547888
31489886,3.3920159,51.2539465
31489887,3.3926435,51.253304
31489889,3.3929696,51.2529404
31489890,3.3935742,51.2522362
31489891,3.3937804,51.2519836
31489892,3.3943512,51.2512244
31489893,3.3976679,51.2460454
31490355,3.3984003,51.244849
31490356,3.3978081,51.2460731
31490357,3.3946028,51.2512867
31490358,3.3940346,51.2520405
31490359,3.3935842,51.2525961
31490360,3.3932775,51.2529449
31490361,3.3925541,51.2537206
31490362,3.3919303,51.2543409
31490364,3.3907642,51.2553907
31490365,3.3901645,51.2559019
31490366,3.3893976,51.256463
31490367,3.3887592,51.2569111
31490368,3.3671303,51.2706094
31490369,3.3656139,51.271387
31490370,3.365057,51.2716374
31490371,3.3642173,51.2719714
31490372,3.3634271,51.2722304
32903777,5.3967454,51.2621024
32903779,5.3960396,51.2628427
32903780,5.3950432,51.2636329
33463517,5.3951569,51.2636654
33463519,5.3960831,51.2628646
33463520,5.396831,51.2621217
41958084,5.7182575,50.8363717
41958164,5.7184502,50.83684
41965607,6.0145677,50.843001
41965632,6.0147838,50.8430449
41965793,6.0144336,50.8432021
41965873,6.0146538,50.8432547
41966363,6.0139669,50.8437789
41966587,6.0141721,50.84386
41967288,6.0137569,50.8442869
41967562,6.0132722,50.8445032
41968606,6.0124837,50.8455246
41968742,6.0120659,50.845678
41970734,6.0105603,50.8471
41970849,6.01068,50.84723
41970903,6.0103976,50.8472547
41971038,6.0105447,50.8473544
41971521,6.0099497,50.8476719
41971708,6.0237518,50.8479448
41971856,6.0099712,50.8478929
41972044,6.0252666,50.8481421
41972347,6.0261744,50.8483368
41972610,6.0275268,50.8487318
41974130,6.0302557,50.8498566
41974397,6.0073928,50.8500664
41974552,6.007543,50.8501731
41975039,6.0317941,50.8505569
41975451,6.0323817,50.8508078
41975842,6.0335443,50.8512205
41976076,6.0340011,50.8513483
41976191,6.0060678,50.8513229
41976507,6.0350623,50.8516157
41976734,6.00598,50.85167
41977067,6.0057421,50.8516466
41977562,6.0373511,50.8521675
41980784,6.0029067,50.8543296
41981450,6.0032858,50.8541948
41981814,6.00264,50.85461
41982892,6.0022692,50.8551699
41984616,6.0008009,50.8563045
41985196,6.0002616,50.8567799
41985221,6.0004767,50.8567935
41986003,5.999694,50.8572748
41986098,5.9998105,50.8573472
41986276,5.9992067,50.8576619
41986402,5.9993379,50.8577236
41986796,5.9990436,50.8579462
41987104,5.9986725,50.8582225
41987406,5.9983845,50.8584303
41987647,5.9978764,50.8586099
41987778,5.9980166,50.8586888
41988277,5.9975459,50.8590048
41989410,5.9962052,50.8596514
41989761,5.696443,50.8599754
41989859,5.6956531,50.8600484
41989860,5.6986442,50.8600402
41989928,5.6964343,50.8600709
41989979,5.7014149,50.8601869
41990035,5.6986231,50.8601328
41990104,5.6993325,50.8601555
41990530,5.9952457,50.86018
41991186,5.9953092,50.8602931
41992008,5.9930346,50.8613153
41992131,5.9931043,50.861438
41994697,5.9892763,50.8632316
41998174,5.9849031,50.8654915
41998195,5.9850606,50.8655725
41998667,5.9850338,50.8655926
41999674,5.9834782,50.8662646
