osm_id,lon,lat
24961718,5.5539969,51.4590377
24961726,5.5545858,51.4594022
24961729,5.5393453,51.4562197
24961733,5.5422164,51.4568075
24961737,5.5422762,51.4566236
24961740,5.5438941,51.4570778
24961743,5.5448076,51.4570417
24961746,5.5460619,51.4574653
24961749,5.5461409,51.4572847
25304918,5.5569825,51.4597761
25304922,5.5622445,51.4609936
25390105,5.5568792,51.4599538
25550370,5.5621383,51.46117
25550373,5.5713174,51.4631514
26314999,4.3046235,51.3760975
26315000,4.3050958,51.3757373
26315001,4.3055793,51.3745202
26315002,4.3057987,51.3745718
26315004,4.3070531,51.3721157
26315005,4.3072292,51.3721647
26315006,4.3079511,51.3706287
26315007,4.3081926,51.3707167
26315060,4.3077762,51.371294
26315061,4.3084033,51.3699584
26315062,4.3087249,51.3695407
26315063,4.309178,51.3690461
26315064,4.3094955,51.368748
26315065,4.3100093,51.3682962
26315066,4.3105892,51.3679173
26315067,4.3111218,51.3675939
26315068,4.3117373,51.3672589
26315069,4.3127433,51.3668071
26315079,4.3134218,51.3665556
26315086,4.3142317,51.3663101
26315087,4.3149698,51.3661202
26315088,4.3155805,51.3659898
26315089,4.3163582,51.3658606
26315090,4.3172087,51.3657525
26315091,4.3181353,51.3656593
26315092,4.3190178,51.3655778
26315093,4.319755,51.3654991
26315094,4.3198167,51.3657026
26315095,4.3190121,51.3658039
26315096,4.3181584,51.3659335
26315097,4.3172687,51.3660924
26315098,4.3165078,51.3662556
26315099,4.3157011,51.3664463
26315101,4.3148874,51.366667
26315102,4.3141883,51.3668794
26315103,4.3134861,51.3671252
26315104,4.3127887,51.3673958
26315105,4.3120852,51.3677079
26315106,4.3114649,51.3680281
26315107,4.3108048,51.3684039
26315108,4.3104647,51.3686189
26315109,4.3099691,51.3689632
26315110,4.3095464,51.3693062
26315111,4.3091647,51.3696422
26315112,4.3086839,51.370122
26315115,4.3218545,51.3654499
26315116,4.3221681,51.365198
26315117,4.3206324,51.3653944
26315118,4.3213712,51.3653017
26315119,4.3214545,51.3655061
26315120,4.3206785,51.3656014
26315129,4.3228867,51.3650889
26315130,4.3228694,51.3653022
26315131,4.3239735,51.3651054
26315132,4.3239341,51.3648984
26315133,4.3246931,51.3647277
26315134,4.3247528,51.3649319
26315135,4.3256846,51.3646839
26315136,4.3255611,51.3644929
26315137,4.3263233,51.3642467
26315138,4.3264534,51.3644367
26315139,4.3269978,51.3639967
26315140,4.3271374,51.3641873
26315141,4.3276229,51.3637416
26315142,4.327799,51.3639161
26315143,4.3283536,51.3633976
26315144,4.3282719,51.3636945
26315145,4.3287797,51.3631776
26315146,4.3289716,51.3633462
26315147,4.3294352,51.3628008
26315148,4.3295004,51.3630428
26315149,4.329964,51.3624538
26315150,4.3301771,51.3626108
26315151,4.3305602,51.3620179
26315152,4.3308361,51.362129
26316338,4.3310208,51.3616357
26316339,4.3312875,51.3617581
26316340,4.3319281,51.3611514
26316341,4.3316453,51.3610485
26316342,4.3320975,51.3605384
26316343,4.3323826,51.3606389
26316344,4.3327106,51.3602283
26316345,4.3324256,51.3601287
26316346,4.3329367,51.359412
26316347,4.3332286,51.3595072
26316398,4.3360328,51.3552748
26316399,4.3364736,51.3552313
26316400,4.3361478,51.3555358
26316401,4.3356785,51.3556211
26316402,4.3351951,51.3561578
26316403,4.335469,51.356266
26316404,4.3349602,51.3569216
26316405,4.334643,51.356867
26316406,4.3344021,51.3577323
26316407,4.3340417,51.3577516
26316408,4.3335783,51.3584407
26316409,4.3338596,51.3585574
26316729,4.3368336,51.3545924
26316731,4.3370833,51.3547254
26316737,4.3381252,51.3539628
27240151,6.5733155,53.0298372
27240152,6.5526744,53.021624
27240153,6.5275424,53.0024445
27240154,6.5259597,52.9998677
27240166,6.5733957,53.0297251
27240168,6.5509534,53.0203368
27240169,6.527633,53.0022965
27240170,6.5261628,52.9998547
27240171,6.5258948,52.9903255
27240172,6.5257037,52.9901666
27240173,6.5264088,52.9847294
27240174,6.5266006,52.9847644
27240175,6.5275056,52.9818558
27240176,6.5276878,52.981894
27240177,6.5297706,52.9792929
27240178,6.529853,52.9794389
27240179,6.543539,52.9706058
27240180,6.5450261,52.9695775
27240182,6.5463082,52.9676172
27240183,6.5463887,52.9678382
27240184,6.5470251,52.9651757
27240185,6.5472175,52.9651676
27240186,6.5452466,52.9592347
27240187,6.5460071,52.9604037
27259898,6.5255605,52.9959902
27259899,6.5257471,52.9958964
27307148,6.5863406,53.0419325
27307149,6.5861724,53.0420092
27307150,6.5771769,53.0320217
27307152,6.5801389,53.0348587
27307153,6.5582127,53.0242093
27307154,6.5586552,53.024233
27307155,6.5366609,53.0096206
27307156,6.5369312,53.0096403
27307157,6.5256459,52.9979514
27307158,6.5258529,52.9981113
27307186,6.543305,52.9535834
27307187,6.5398921,52.9443151
27350129,6.5322436,52.9777655
27459906,6.546754,52.9623674
27459972,6.5464256,52.9622273
28236020,6.5255285,52.9938954
28388221,6.5900021,53.0469507
28388223,6.590242,53.0469789
29209818,6.5649072,53.0265711
29209829,6.5654485,53.0266284
29209830,6.5696609,53.0281109
29209831,6.5697725,53.0282851
29856455,6.5549959,53.0228624
29856456,6.5549654,53.0227036
29856459,6.5476761,53.0180433
29856460,6.5469664,53.0173119
29856470,6.5399873,53.012155
30459922,6.5752093,53.0307243
31379935,5.1823732,51.3103419
31380349,5.1825,51.310168
31380351,5.1964344,51.3147335
36041366,6.3797531,51.8282985
36041368,6.3804812,51.828181
36041369,6.3764449,51.8297181
36041373,6.3688579,51.8326107
36041376,6.3537488,51.8383589
36041379,6.3481592,51.8404834
36041382,6.3416591,51.8426465
36041385,6.3388965,51.8433123
36041387,6.3421772,51.8423539
36053128,6.3338792,51.8441681
36053130,6.3388464,51.8431782
36053131,6.3310268,51.8444844
36053133,6.3338798,51.8440511
36053141,6.312737,51.8456526
36053144,6.3090397,51.84612
36053146,6.3090179,51.8460022
36053147,6.3031808,51.847183
36053149,6.3031703,51.8473098
36053150,6.2972895,51.8489811
36053152,6.297025,51.8492225
36053157,6.2853236,51.8544931
36053158,6.2851335,51.8544208
36053160,6.2777904,51.8580325
36053162,6.2778127,51.8578769
36053183,6.2334839,51.863844
36053185,6.2286186,51.8644253
36053186,6.2316684,51.8639068
36053188,6.2217745,51.8655849
36053190,6.2250926,51.8648506
36053192,6.2156864,51.8669576
36053193,6.2186635,51.8661083
36053195,6.212044,51.8679613
36053196,6.2157174,51.8668198
36053198,6.207096,51.8695312
36053200,6.2069774,51.8694411
41900181,5.6989587,50.7578746
41900246,5.6987859,50.757941
41900569,5.7002817,50.7590883
41900698,5.7001108,50.7591798
41901149,5.7020574,50.7604233
41901214,5.7018642,50.7605154
41901316,5.7028543,50.7609502
41901586,5.7039947,50.7618625
41901596,5.7044583,50.7618893
