osm_id,lon,lat
16554869,4.898923,52.377526
16568166,4.8988379,52.3776574
16568167,4.899034,52.3777968
26585151,4.9121287,52.3773401
27561854,4.8547375,52.3563985
27589598,4.8771886,52.3600916
29382937,4.4731918,51.8911776
29391171,4.4648442,51.8834621
29391175,4.4656802,51.8872877
29435855,4.5536801,51.8854081
29489298,4.4744602,51.8908353
29499738,4.4827462,51.9095531
29525553,4.4674457,51.9084084
29525557,4.4797164,51.9121375
29525558,4.4802289,51.9122095
29579775,4.4656938,51.8874246
29585064,4.4733266,51.891129
29620781,4.4634767,51.9195326
29623737,4.4768575,51.9125412
29623739,4.473885,51.9161172
29623740,4.4736171,51.9163751
29623744,4.4728939,51.9170479
29623745,4.4729428,51.9170639
30154017,4.9468541,52.362754
30154640,4.9467311,52.362667
30545941,4.3172163,52.0838118
31205397,4.3497023,52.0252064
31205407,4.3454691,52.0497604
36312380,4.510779,51.9268502
44162813,4.4945573,51.8702193
44170021,4.4943869,51.8718837
44193565,4.5220147,51.8772286
44219936,4.5042629,51.8824279
44263169,4.5138816,51.8905507
44264204,4.5138384,51.8907082
44271045,4.4710367,51.8920999
44272118,4.5451203,51.8921941
44281159,4.5393559,51.8939994
44284442,4.5283852,51.8947404
44288106,4.4910612,51.8956043
44288591,4.4911804,51.8956813
44291835,4.4920461,51.8963304
44299063,4.5742453,51.8979878
44299394,4.5011936,51.8981838
44336256,4.4642125,51.9067816
44342667,4.4638904,51.9082783
44346562,4.4787359,51.9090486
44347093,4.4801356,51.9091211
44349422,4.4823657,51.9098482
44352257,4.4510964,51.9104992
44354473,4.4518853,51.9109466
44356703,4.4527248,51.9114115
44358104,4.4534114,51.9117855
44359411,4.4540191,51.9120283
44360879,4.4554607,51.9123397
44361895,4.4563498,51.9125201
44365398,4.4598702,51.9131572
44365400,4.4600686,51.9131898
44367967,4.4635024,51.9137714
44368479,4.4640753,51.9138361
44369001,4.4646647,51.9139784
44369987,4.4652968,51.9141835
44370935,4.4655328,51.9143398
44371459,4.459601,51.9143632
44371461,4.459778,51.9143891
44373029,4.465848,51.9147605
44374198,4.4594714,51.9149324
44376346,4.4661756,51.9153039
44377317,4.4664,51.9155
44377806,4.4593248,51.9156621
44377808,4.4595043,51.9156603
44377815,4.4665904,51.9156026
44378319,4.4672596,51.9157635
44379341,4.4678889,51.9159149
44379798,4.4684477,51.9160478
44380785,4.4468526,51.9160637
