osm_id,lon,lat
44017186,4.3133922,51.8325203
44019806,4.3141038,51.8326698
44020328,4.3150869,51.8328154
44021793,4.3189881,51.8331819
44022289,4.3199088,51.8332727
44023218,4.3209026,51.8333731
44023694,4.3217208,51.8334785
44024136,4.3229579,51.8335819
44025027,4.325159,51.8337923
44025444,4.326972,51.8339645
44026885,4.3280443,51.8341374
44027831,4.3289992,51.8344035
44030173,4.3300003,51.8348229
44031099,4.3307634,51.8353116
44034342,4.3313514,51.8359157
44036652,4.3316496,51.8365066
44038394,4.3317141,51.8369136
44042198,4.3316982,51.8373134
44045592,4.3316031,51.8384021
44047503,4.3315197,51.8389051
44056176,4.3312254,51.8415117
44058088,4.3311754,51.8424894
44061420,4.3312699,51.8430711
44062672,4.3315132,51.8435682
44064030,4.331718,51.8439159
44065928,4.3321246,51.8443798
44066857,4.3323213,51.8445765
44068555,4.3330085,51.8452041
44069758,4.3334418,51.8455753
44071392,4.3339103,51.8459941
44073084,4.3344807,51.8465371
44074016,4.3348914,51.8468913
44074974,4.3351141,51.8470739
44075976,4.3357756,51.8475206
44077214,4.336441,51.8478081
44077575,4.3370045,51.8479792
44077936,4.3377103,51.848111
44078322,4.3385603,51.8481977
44078324,4.3398487,51.8482429
44078326,4.3403007,51.8482453
44078328,4.3425084,51.8482607
44078690,4.3431757,51.8482607
44078692,4.3460468,51.848269
44078693,4.3475,51.8483
44078695,4.3499546,51.8484241
44078696,4.3528728,51.8489172
44084356,4.3565,51.85
44087065,4.3581,51.8508
44089370,4.3591,51.8514
44091931,4.3599,51.8521
44093029,4.3603474,51.8524473
44100803,4.3618386,51.8541221
44102796,4.3623257,51.854686
44107348,4.3637957,51.8564679
44110588,4.3641588,51.856988
44116490,4.4142386,51.8585274
44116492,4.4153981,51.858531
44116813,4.4131367,51.8586334
44116818,4.4164406,51.8586131
44118070,4.4180701,51.8588702
44118781,4.4194682,51.8590952
44119183,4.4098,51.8592
44119614,4.4206367,51.8592869
44120040,4.408816,51.8593831
44120440,4.4080709,51.8595098
44120450,4.4219,51.8595
44121269,4.3658897,51.8593863
44121714,4.4063212,51.8598179
44122603,4.4053,51.86
44122613,4.424956,51.8600084
44123386,4.3664264,51.8601122
44123417,4.4042,51.8602
44123429,4.4256155,51.8601225
44124185,4.4269,51.860414
44124573,4.4024039,51.8605167
44125602,4.4277,51.860679
44126086,4.400944,51.8607797
44126954,4.3996135,51.8610167
44127353,4.4286245,51.8611047
44129021,4.3847942,51.8614905
44129023,4.3866,51.8615
44129034,4.3967777,51.8615312
44129343,4.3676443,51.8617676
44129353,4.3836,51.8616
44129372,4.396163,51.8616357
44129385,4.4294,51.8616
44129775,4.3957845,51.8616988
44130152,4.3888811,51.8618309
44130161,4.429556,51.8617447
44130557,4.3813,51.8619
44130564,4.3896234,51.8619633
44131003,4.3902198,51.8620498
44131307,4.3935961,51.8620714
44131317,4.4299207,51.8620953
44131636,4.3678073,51.8619637
44131650,4.3916,51.8621773
44131653,4.3926865,51.8621678
44132045,4.3786,51.8623
44132441,4.3779023,51.8624092
44133157,4.3683777,51.8624609
44133190,4.4304,51.8626
44134126,4.3690519,51.8628595
44134405,4.3756207,51.8628071
44135077,4.3695014,51.8630391
44135446,4.3704117,51.8632842
44135807,4.3712321,51.8633828
44135808,4.3720995,51.8633899
44138447,4.4314876,51.8641153
44140234,4.4319,51.8646
44142001,4.4323491,51.8650977
44143508,4.4328491,51.8655054
44145310,4.4335888,51.8659977
44146706,4.4344161,51.866436
44148512,4.4355112,51.8668854
44149693,4.4662763,51.8673186
44150398,4.4366895,51.8673803
44152704,4.4378696,51.8678513
44152717,4.4646284,51.8679601
44152723,4.4748279,51.8680386
44153530,4.438696,51.8681847
44154349,4.4753,51.8684
44154790,4.4628997,51.868735
44155235,4.4399459,51.8686556
44156553,4.4755287,51.8685863
44156968,4.4407781,51.8690122
44157413,4.4413508,51.8692129
